DateTime,SPD10,DIR10,SLP,T2,RH2
2018-03-01-00:00:00,2.43,9,1018.7,273.65,19
2018-03-01-01:00:00,4.25,357,1018.7,274.95,17
2018-03-01-02:00:00,2.9,344,1018.4,276.75,14
2018-03-01-03:00:00,4.91,295,1017.8,277.55,13
2018-03-01-04:00:00,4.62,303,1016.8,279.25,12
2018-03-01-05:00:00,4.03,321,1015.4,280.85,10
2018-03-01-06:00:00,4.3,288,1014.3,281.35,8
2018-03-01-07:00:00,3.93,203,1013.7,281.45,9
2018-03-01-08:00:00,4.18,164,1013,281.65,10
2018-03-01-09:00:00,4.94,202,1012.7,281.25,11
2018-03-01-10:00:00,5.59,180,1012.6,280.35,13
2018-03-01-11:00:00,4.5,183,1012.9,279.65,14
2018-03-01-12:00:00,4.59,183,1013.1,278.35,16
2018-03-01-13:00:00,6.09,179,1013,277.95,17
2018-03-01-14:00:00,5.66,166,1012.9,277.05,18
2018-03-01-15:00:00,5.52,134,1012.4,275.65,22
2018-03-01-16:00:00,5.49,135,1011.8,274.35,29
2018-03-01-17:00:00,3.8,117,1011.5,273.25,33
2018-03-01-18:00:00,4.04,123,1011.3,273.35,31
2018-03-01-19:00:00,5.05,129,1010.6,273.35,29
2018-03-01-20:00:00,3.16,107,1010,271.95,33
2018-03-01-21:00:00,3.46,111,1009.9,272.65,34
2018-03-01-22:00:00,2.69,102,1009,271.85,42
2018-03-01-23:00:00,2.98,104,1008.4,271.55,44
2018-03-02-00:00:00,2.58,103,1008.6,272.95,42
2018-03-02-01:00:00,1.68,114,1008.5,274.45,34
2018-03-02-02:00:00,0.98,112,1007.7,275.45,32
2018-03-02-03:00:00,1.21,144,1007.1,277.35,29
2018-03-02-04:00:00,1.77,142,1006,278.15,27
2018-03-02-05:00:00,2.5,115,1004.3,279.75,24
2018-03-02-06:00:00,1.72,195,1003,280.95,23
2018-03-02-07:00:00,2.49,160,1002.5,281.05,23
2018-03-02-08:00:00,3.36,151,1001.7,281.75,22
2018-03-02-09:00:00,1.74,153,1001.3,281.95,21
2018-03-02-10:00:00,2.21,87,1001.6,281.05,23
2018-03-02-11:00:00,1.89,21,1001.8,278.55,27
2018-03-02-12:00:00,1.82,22,1002,277.25,30
2018-03-02-13:00:00,2.57,80,1002.1,277.85,30
2018-03-02-14:00:00,1.73,76,1001.9,277.75,38
2018-03-02-15:00:00,1.93,70,1001.5,276.55,47
2018-03-02-16:00:00,2.47,127,1001,278.25,46
2018-03-02-17:00:00,1.01,305,1000.6,276.65,49
2018-03-02-18:00:00,0.8,304,1000.2,275.25,50
2018-03-02-19:00:00,0.6,318,999.4,274.05,53
2018-03-02-20:00:00,1.4,338,999.1,272.55,57
2018-03-02-21:00:00,1.73,351,999,272.75,57
2018-03-02-22:00:00,1.08,334,999,272.65,56
2018-03-02-23:00:00,1.53,345,999.6,272.85,55
2018-03-03-00:00:00,2.56,326,1000.5,274.85,50
2018-03-03-01:00:00,2.04,12,1000.7,276.85,44
2018-03-03-02:00:00,2.17,15,1000.7,279.45,40
2018-03-03-03:00:00,1.1,25,1000.8,281.85,41
2018-03-03-04:00:00,1.9,148,1000.8,281.75,49
2018-03-03-05:00:00,1.1,41,1000.9,282.25,49
2018-03-03-06:00:00,2.98,99,999.9,282.65,49
2018-03-03-07:00:00,2.48,91,1000.6,282.65,53
2018-03-03-08:00:00,1.75,118,1002,282.25,53
2018-03-03-09:00:00,1.74,108,1002.8,282.25,54
2018-03-03-10:00:00,1.96,21,1004.3,281.45,57
2018-03-03-11:00:00,1.57,358,1005.2,281.25,57
2018-03-03-12:00:00,1.11,9,1005.5,280.25,60
2018-03-03-13:00:00,1.67,130,1006.2,281.05,62
2018-03-03-14:00:00,1.21,300,1007.5,281.05,63
2018-03-03-15:00:00,1.66,294,1008.6,281.25,62
2018-03-03-16:00:00,0.46,334,1009.1,281.15,54
2018-03-03-17:00:00,4.03,34,1009.7,282.95,15
2018-03-03-18:00:00,6.19,41,1010.6,283.95,11
2018-03-03-19:00:00,5.71,29,1011.7,283.15,11
2018-03-03-20:00:00,5.97,39,1012.1,282.65,11
2018-03-03-21:00:00,6.25,20,1012.5,281.95,12
2018-03-03-22:00:00,4.14,61,1013.3,281.15,13
2018-03-03-23:00:00,4,122,1014.4,280.15,53
2018-03-04-00:00:00,4.64,160,1015.2,279.55,67
2018-03-04-01:00:00,4.89,158,1016.2,279.35,53
2018-03-04-02:00:00,5.63,163,1016.9,279.65,47
2018-03-04-03:00:00,5.35,181,1017.7,280.05,36
2018-03-04-04:00:00,5.54,150,1017.4,279.55,34
2018-03-04-05:00:00,5.67,159,1016.7,279.55,32
2018-03-04-06:00:00,5.95,154,1016.2,279.95,30
2018-03-04-07:00:00,5.63,143,1016,279.85,30
2018-03-04-08:00:00,6.12,141,1016.2,279.05,30
2018-03-04-09:00:00,4.83,140,1016.6,278.25,31
2018-03-04-10:00:00,4.96,137,1017.4,277.75,32
2018-03-04-11:00:00,4.55,138,1018.9,277.35,32
2018-03-04-12:00:00,3.05,153,1020.1,276.45,34
2018-03-04-13:00:00,4.28,148,1021.1,276.35,34
2018-03-04-14:00:00,2.54,97,1021.5,274.15,41
2018-03-04-15:00:00,1.86,123,1021.6,274.25,41
2018-03-04-16:00:00,2.43,97,1022,273.15,44
2018-03-04-17:00:00,1.44,48,1022.3,271.65,51
2018-03-04-18:00:00,2.09,81,1022.7,272.75,47
2018-03-04-19:00:00,2.22,1,1022.9,271.65,49
2018-03-04-20:00:00,2.34,7,1023.3,270.25,55
2018-03-04-21:00:00,1.38,1,1024.1,270.65,58
2018-03-04-22:00:00,1.34,291,1024.9,271.15,57
2018-03-04-23:00:00,1.16,352,1025.7,269.35,63
2018-03-05-00:00:00,1.04,350,1026.6,272.85,54
2018-03-05-01:00:00,2.41,103,1027.2,274.65,43
2018-03-05-02:00:00,3.44,126,1027.5,275.65,35
2018-03-05-03:00:00,4.47,159,1027.3,277.55,30
2018-03-05-04:00:00,4.83,137,1026.6,278.95,28
2018-03-05-05:00:00,5.45,176,1025.5,279.85,24
2018-03-05-06:00:00,5.86,180,1024.3,280.75,18
2018-03-05-07:00:00,5.22,190,1023.5,281.15,18
2018-03-05-08:00:00,6.61,179,1023.2,281.25,19
2018-03-05-09:00:00,7.68,163,1022.8,280.65,21
