DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-01-00:00:00,2.28000,352.00000,1018.80000,273.95000,22.00000,254.44000
2018-03-01-01:00:00,4.35000,340.00000,1018.80000,275.45000,21.00000,255.18000
2018-03-01-02:00:00,4.39000,329.00000,1018.40000,276.85000,19.00000,255.17000
2018-03-01-03:00:00,3.77000,312.00000,1017.80000,277.25000,17.00000,254.17000
2018-03-01-04:00:00,3.61000,355.00000,1016.70000,279.35000,14.00000,253.61000
2018-03-01-05:00:00,4.01000,326.00000,1015.40000,280.75000,13.00000,253.87000
2018-03-01-06:00:00,4.25000,325.00000,1014.30000,281.85000,11.00000,252.79000
2018-03-01-07:00:00,2.57000,250.00000,1013.70000,282.15000,12.00000,254.06000
2018-03-01-08:00:00,3.86000,196.00000,1013.20000,281.55000,13.00000,254.53000
2018-03-01-09:00:00,4.03000,216.00000,1012.80000,281.15000,14.00000,255.09000
2018-03-01-10:00:00,3.90000,193.00000,1012.80000,279.65000,17.00000,256.19000
2018-03-01-11:00:00,3.01000,191.00000,1013.00000,278.45000,19.00000,256.53000
2018-03-01-12:00:00,3.43000,193.00000,1013.20000,278.05000,20.00000,256.81000
2018-03-01-13:00:00,4.08000,184.00000,1013.00000,277.15000,22.00000,257.20000
2018-03-01-14:00:00,3.36000,175.00000,1013.00000,274.95000,25.00000,256.86000
2018-03-01-15:00:00,4.04000,138.00000,1012.50000,275.25000,24.00000,256.62000
2018-03-01-16:00:00,5.47000,146.00000,1011.80000,274.05000,31.00000,258.70000
2018-03-01-17:00:00,3.21000,138.00000,1011.50000,273.35000,36.00000,259.93000
2018-03-01-18:00:00,3.64000,129.00000,1011.30000,273.25000,34.00000,259.13000
2018-03-01-19:00:00,3.72000,135.00000,1010.70000,272.65000,34.00000,260.03000
2018-03-01-20:00:00,3.41000,128.00000,1010.00000,272.55000,36.00000,260.58000
2018-03-01-21:00:00,3.30000,136.00000,1009.90000,272.85000,37.00000,261.16000
2018-03-01-22:00:00,3.02000,114.00000,1009.00000,272.45000,42.00000,262.22000
2018-03-01-23:00:00,2.89000,107.00000,1008.40000,272.65000,43.00000,262.68000
2018-03-02-00:00:00,2.56000,110.00000,1008.60000,273.35000,43.00000,262.17000
2018-03-02-01:00:00,1.59000,146.00000,1008.50000,274.75000,36.00000,261.20000
2018-03-02-02:00:00,2.18000,32.00000,1007.80000,276.05000,34.00000,261.65000
2018-03-02-03:00:00,0.76000,260.00000,1007.10000,276.65000,33.00000,261.81000
2018-03-02-04:00:00,2.12000,127.00000,1006.10000,278.35000,29.00000,261.69000
2018-03-02-05:00:00,1.06000,109.00000,1004.30000,279.95000,27.00000,262.19000
2018-03-02-06:00:00,2.69000,148.00000,1003.00000,281.35000,26.00000,262.93000
2018-03-02-07:00:00,1.94000,207.00000,1002.50000,281.55000,26.00000,263.11000
2018-03-02-08:00:00,2.41000,152.00000,1001.80000,281.55000,25.00000,262.61000
2018-03-02-09:00:00,1.72000,128.00000,1001.40000,281.75000,25.00000,262.78000
2018-03-02-10:00:00,0.63000,163.00000,1001.70000,280.65000,27.00000,262.80000
2018-03-02-11:00:00,1.16000,31.00000,1001.90000,279.35000,29.00000,262.57000
2018-03-02-12:00:00,2.88000,25.00000,1002.00000,278.45000,30.00000,262.20000
2018-03-02-13:00:00,2.91000,75.00000,1002.10000,279.85000,31.00000,263.87000
2018-03-02-14:00:00,1.63000,122.00000,1002.00000,279.35000,39.00000,266.40000
2018-03-02-15:00:00,1.01000,9.00000,1001.60000,276.85000,48.00000,266.83000
2018-03-02-16:00:00,1.45000,348.00000,1001.10000,276.25000,50.00000,266.81000
2018-03-02-17:00:00,1.25000,274.00000,1000.70000,273.95000,55.00000,265.90000
2018-03-02-18:00:00,0.54000,261.00000,1000.30000,273.95000,54.00000,265.66000
2018-03-02-19:00:00,0.38000,297.00000,999.50000,272.25000,63.00000,266.71000
2018-03-02-20:00:00,0.62000,349.00000,999.10000,272.25000,61.00000,266.34000
2018-03-02-21:00:00,0.99000,351.00000,999.10000,271.65000,65.00000,266.50000
2018-03-02-22:00:00,0.70000,306.00000,999.10000,271.25000,65.00000,266.12000
2018-03-02-23:00:00,0.64000,336.00000,999.70000,271.35000,65.00000,266.22000
2018-03-03-00:00:00,1.71000,339.00000,1000.60000,274.75000,54.00000,266.41000
2018-03-03-01:00:00,2.65000,22.00000,1000.70000,276.95000,47.00000,266.65000
2018-03-03-02:00:00,1.83000,33.00000,1000.80000,279.45000,43.00000,267.78000
2018-03-03-03:00:00,1.49000,21.00000,1000.80000,281.25000,46.00000,270.34000
2018-03-03-04:00:00,1.58000,85.00000,1000.90000,282.05000,50.00000,272.21000
2018-03-03-05:00:00,1.40000,110.00000,1001.00000,282.55000,51.00000,272.95000
2018-03-03-06:00:00,2.96000,99.00000,1000.10000,282.75000,52.00000,273.41000
2018-03-03-07:00:00,2.90000,103.00000,1000.60000,282.65000,55.00000,274.09000
2018-03-03-08:00:00,1.24000,78.00000,1002.10000,282.35000,56.00000,274.06000
2018-03-03-09:00:00,1.68000,94.00000,1002.80000,282.45000,56.00000,274.15000
2018-03-03-10:00:00,1.61000,353.00000,1004.30000,281.45000,60.00000,274.17000
2018-03-03-11:00:00,1.04000,334.00000,1005.20000,280.65000,61.00000,273.63000
2018-03-03-12:00:00,1.46000,25.00000,1005.60000,281.85000,60.00000,274.54000
2018-03-03-13:00:00,1.71000,33.00000,1006.40000,281.55000,65.00000,275.38000
2018-03-03-14:00:00,1.02000,244.00000,1007.60000,280.15000,68.00000,274.67000
2018-03-03-15:00:00,0.96000,260.00000,1008.80000,279.15000,72.00000,274.50000
2018-03-03-16:00:00,0.80000,209.00000,1009.20000,280.05000,68.00000,274.57000
