DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-01-00:00:00,2.43000,9.00000,1018.70000,273.65000,19.00000,252.45000
2018-03-01-01:00:00,4.25000,357.00000,1018.70000,274.95000,17.00000,252.24000
2018-03-01-02:00:00,2.90000,344.00000,1018.40000,276.75000,14.00000,251.46000
2018-03-01-03:00:00,4.91000,295.00000,1017.80000,277.55000,13.00000,251.26000
2018-03-01-04:00:00,4.62000,303.00000,1016.80000,279.25000,12.00000,251.71000
2018-03-01-05:00:00,4.03000,321.00000,1015.40000,280.85000,10.00000,250.87000
2018-03-01-06:00:00,4.30000,288.00000,1014.30000,281.35000,8.00000,248.69000
2018-03-01-07:00:00,3.93000,203.00000,1013.70000,281.45000,9.00000,250.12000
2018-03-01-08:00:00,4.18000,164.00000,1013.00000,281.65000,10.00000,251.51000
2018-03-01-09:00:00,4.94000,202.00000,1012.70000,281.25000,11.00000,252.30000
2018-03-01-10:00:00,5.59000,180.00000,1012.60000,280.35000,13.00000,253.55000
2018-03-01-11:00:00,4.50000,183.00000,1012.90000,279.65000,14.00000,253.85000
2018-03-01-12:00:00,4.59000,183.00000,1013.10000,278.35000,16.00000,254.37000
2018-03-01-13:00:00,6.09000,179.00000,1013.00000,277.95000,17.00000,254.76000
2018-03-01-14:00:00,5.66000,166.00000,1012.90000,277.05000,18.00000,254.69000
2018-03-01-15:00:00,5.52000,134.00000,1012.40000,275.65000,22.00000,255.91000
2018-03-01-16:00:00,5.49000,135.00000,1011.80000,274.35000,29.00000,258.15000
2018-03-01-17:00:00,3.80000,117.00000,1011.50000,273.25000,33.00000,258.76000
2018-03-01-18:00:00,4.04000,123.00000,1011.30000,273.35000,31.00000,258.08000
2018-03-01-19:00:00,5.05000,129.00000,1010.60000,273.35000,29.00000,257.26000
2018-03-01-20:00:00,3.16000,107.00000,1010.00000,271.95000,33.00000,259.06000
2018-03-01-21:00:00,3.46000,111.00000,1009.90000,272.65000,34.00000,260.03000
2018-03-01-22:00:00,2.69000,102.00000,1009.00000,271.85000,42.00000,261.67000
2018-03-01-23:00:00,2.98000,104.00000,1008.40000,271.55000,44.00000,261.91000
2018-03-02-00:00:00,2.58000,103.00000,1008.60000,272.95000,42.00000,262.69000
2018-03-02-01:00:00,1.68000,114.00000,1008.50000,274.45000,34.00000,260.21000
2018-03-02-02:00:00,0.98000,112.00000,1007.70000,275.45000,32.00000,260.35000
2018-03-02-03:00:00,1.21000,144.00000,1007.10000,277.35000,29.00000,260.80000
2018-03-02-04:00:00,1.77000,142.00000,1006.00000,278.15000,27.00000,260.61000
2018-03-02-05:00:00,2.50000,115.00000,1004.30000,279.75000,24.00000,260.53000
2018-03-02-06:00:00,1.72000,195.00000,1003.00000,280.95000,23.00000,261.03000
2018-03-02-07:00:00,2.49000,160.00000,1002.50000,281.05000,23.00000,261.12000
2018-03-02-08:00:00,3.36000,151.00000,1001.70000,281.75000,22.00000,261.16000
2018-03-02-09:00:00,1.74000,153.00000,1001.30000,281.95000,21.00000,260.75000
2018-03-02-10:00:00,2.21000,87.00000,1001.60000,281.05000,23.00000,261.12000
2018-03-02-11:00:00,1.89000,21.00000,1001.80000,278.55000,27.00000,260.96000
2018-03-02-12:00:00,1.82000,22.00000,1002.00000,277.25000,30.00000,261.14000
2018-03-02-13:00:00,2.57000,80.00000,1002.10000,277.85000,30.00000,261.67000
2018-03-02-14:00:00,1.73000,76.00000,1001.90000,277.75000,38.00000,264.61000
2018-03-02-15:00:00,1.93000,70.00000,1001.50000,276.55000,47.00000,266.27000
2018-03-02-16:00:00,2.47000,127.00000,1001.00000,278.25000,46.00000,267.57000
2018-03-02-17:00:00,1.01000,305.00000,1000.60000,276.65000,49.00000,266.91000
2018-03-02-18:00:00,0.80000,304.00000,1000.20000,275.25000,50.00000,265.88000
2018-03-02-19:00:00,0.60000,318.00000,999.40000,274.05000,53.00000,265.51000
2018-03-02-20:00:00,1.40000,338.00000,999.10000,272.55000,57.00000,265.83000
2018-03-02-21:00:00,1.73000,351.00000,999.00000,272.75000,57.00000,266.02000
2018-03-02-22:00:00,1.08000,334.00000,999.00000,272.65000,56.00000,265.72000
2018-03-02-23:00:00,1.53000,345.00000,999.60000,272.85000,55.00000,265.70000
2018-03-03-00:00:00,2.56000,326.00000,1000.50000,274.85000,50.00000,265.50000
