DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-01-00:00:00,2.40000,8.00000,1018.60000,273.55000,22.00000,254.10000
2018-03-01-01:00:00,3.87000,2.00000,1018.60000,274.65000,20.00000,253.91000
2018-03-01-02:00:00,3.75000,338.00000,1018.20000,276.75000,18.00000,254.43000
2018-03-01-03:00:00,3.01000,286.00000,1017.60000,277.35000,17.00000,254.26000
2018-03-01-04:00:00,2.51000,314.00000,1016.60000,278.85000,15.00000,254.02000
2018-03-01-05:00:00,4.68000,330.00000,1015.30000,280.65000,12.00000,252.84000
2018-03-01-06:00:00,2.73000,307.00000,1014.10000,280.95000,10.00000,250.95000
2018-03-01-07:00:00,2.21000,202.00000,1013.40000,281.45000,10.00000,251.35000
2018-03-01-08:00:00,2.97000,213.00000,1012.90000,281.35000,12.00000,253.41000
2018-03-01-09:00:00,2.11000,216.00000,1012.50000,280.95000,14.00000,254.93000
2018-03-01-10:00:00,2.54000,201.00000,1012.50000,279.35000,17.00000,255.94000
2018-03-01-11:00:00,3.19000,190.00000,1012.80000,278.35000,19.00000,256.44000
2018-03-01-12:00:00,3.28000,193.00000,1012.90000,278.05000,20.00000,256.81000
2018-03-01-13:00:00,3.40000,183.00000,1012.80000,275.35000,23.00000,256.19000
2018-03-01-14:00:00,3.65000,179.00000,1012.70000,274.65000,26.00000,257.07000
2018-03-01-15:00:00,4.29000,133.00000,1012.30000,275.35000,24.00000,256.71000
2018-03-01-16:00:00,4.31000,138.00000,1011.60000,273.75000,34.00000,259.58000
2018-03-01-17:00:00,3.77000,132.00000,1011.30000,273.25000,36.00000,259.84000
2018-03-01-18:00:00,2.62000,115.00000,1011.10000,273.05000,37.00000,260.00000
2018-03-01-19:00:00,3.57000,126.00000,1010.50000,272.75000,34.00000,260.12000
2018-03-01-20:00:00,2.18000,93.00000,1009.80000,271.95000,37.00000,260.33000
2018-03-01-21:00:00,2.83000,113.00000,1009.70000,272.45000,38.00000,261.09000
2018-03-01-22:00:00,2.03000,106.00000,1008.80000,272.05000,44.00000,262.38000
2018-03-01-23:00:00,2.23000,111.00000,1008.30000,271.65000,47.00000,262.76000
2018-03-02-00:00:00,1.76000,115.00000,1008.50000,273.05000,44.00000,262.19000
2018-03-02-01:00:00,1.49000,84.00000,1008.30000,274.25000,39.00000,261.76000
2018-03-02-02:00:00,0.90000,191.00000,1007.60000,275.85000,33.00000,261.09000
2018-03-02-03:00:00,1.23000,183.00000,1006.90000,277.35000,32.00000,262.05000
2018-03-02-04:00:00,1.37000,127.00000,1005.80000,277.85000,30.00000,261.67000
2018-03-02-05:00:00,2.28000,121.00000,1004.10000,279.65000,27.00000,261.93000
2018-03-02-06:00:00,3.10000,149.00000,1002.80000,280.65000,26.00000,262.32000
2018-03-02-07:00:00,2.22000,156.00000,1002.30000,281.25000,25.00000,262.35000
2018-03-02-08:00:00,2.93000,146.00000,1001.60000,281.75000,25.00000,262.78000
2018-03-02-09:00:00,1.29000,155.00000,1001.20000,281.45000,25.00000,262.52000
2018-03-02-10:00:00,1.13000,37.00000,1001.50000,279.95000,27.00000,262.19000
2018-03-02-11:00:00,2.02000,38.00000,1001.70000,277.05000,32.00000,261.78000
2018-03-02-12:00:00,1.96000,36.00000,1001.80000,276.65000,34.00000,262.19000
2018-03-02-13:00:00,1.53000,75.00000,1001.90000,276.45000,36.00000,262.74000
2018-03-02-14:00:00,1.74000,93.00000,1001.80000,277.95000,41.00000,265.78000
2018-03-02-15:00:00,0.91000,356.00000,1001.30000,275.05000,42.00000,263.43000
2018-03-02-16:00:00,1.12000,330.00000,1000.80000,273.25000,52.00000,264.51000
2018-03-02-17:00:00,0.93000,311.00000,1000.50000,271.65000,54.00000,264.35000
2018-03-02-18:00:00,1.31000,1.00000,1000.10000,272.45000,56.00000,265.53000
2018-03-02-19:00:00,0.38000,68.00000,999.20000,270.95000,62.00000,265.28000
2018-03-02-20:00:00,1.05000,6.00000,998.90000,271.35000,62.00000,265.66000
2018-03-02-21:00:00,1.35000,14.00000,998.90000,270.45000,68.00000,265.87000
2018-03-02-22:00:00,0.60000,317.00000,998.90000,270.25000,67.00000,265.51000
2018-03-02-23:00:00,0.39000,331.00000,999.40000,270.35000,65.00000,265.25000
2018-03-03-00:00:00,1.21000,351.00000,1000.40000,273.15000,59.00000,266.06000
2018-03-03-01:00:00,2.09000,31.00000,1000.50000,276.65000,49.00000,266.91000
2018-03-03-02:00:00,1.51000,20.00000,1000.50000,279.35000,43.00000,267.69000
2018-03-03-03:00:00,1.46000,76.00000,1000.60000,280.95000,49.00000,270.92000
2018-03-03-04:00:00,1.73000,152.00000,1000.60000,282.05000,49.00000,271.94000
2018-03-03-05:00:00,1.50000,160.00000,1000.70000,282.55000,50.00000,272.68000
2018-03-03-06:00:00,2.58000,107.00000,999.80000,282.65000,53.00000,273.58000
2018-03-03-07:00:00,2.48000,120.00000,1000.40000,282.75000,54.00000,273.93000
2018-03-03-08:00:00,1.22000,109.00000,1001.80000,282.45000,58.00000,274.64000
2018-03-03-09:00:00,1.35000,129.00000,1002.60000,282.25000,57.00000,274.21000
2018-03-03-10:00:00,1.47000,34.00000,1004.00000,281.65000,58.00000,273.88000
2018-03-03-11:00:00,1.02000,360.00000,1005.00000,280.55000,63.00000,273.99000
2018-03-03-12:00:00,1.38000,1.00000,1005.40000,279.75000,67.00000,274.08000
2018-03-03-13:00:00,2.48000,350.00000,1006.00000,280.65000,68.00000,275.15000
2018-03-03-14:00:00,0.72000,257.00000,1007.30000,279.95000,71.00000,275.08000
2018-03-03-15:00:00,1.19000,253.00000,1008.50000,278.65000,73.00000,274.21000
2018-03-03-16:00:00,0.74000,184.00000,1009.00000,277.35000,73.00000,272.95000
2018-03-03-17:00:00,2.41000,19.00000,1009.60000,280.35000,41.00000,267.97000
2018-03-03-18:00:00,4.44000,51.00000,1010.50000,283.25000,16.00000,258.46000
2018-03-03-19:00:00,5.02000,42.00000,1011.60000,282.95000,14.00000,256.57000
2018-03-03-20:00:00,4.34000,27.00000,1012.00000,281.95000,15.00000,256.59000
2018-03-03-21:00:00,4.23000,23.00000,1012.50000,281.55000,15.00000,256.25000
2018-03-03-22:00:00,3.22000,56.00000,1013.20000,281.15000,16.00000,256.71000
2018-03-03-23:00:00,2.55000,102.00000,1014.20000,280.15000,37.00000,266.43000
2018-03-04-00:00:00,4.09000,162.00000,1015.00000,279.65000,69.00000,274.39000
2018-03-04-01:00:00,3.91000,173.00000,1016.00000,279.55000,58.00000,271.90000
2018-03-04-02:00:00,4.73000,178.00000,1016.80000,279.75000,50.00000,270.07000
2018-03-04-03:00:00,4.05000,205.00000,1017.50000,279.75000,40.00000,267.10000
2018-03-04-04:00:00,4.70000,178.00000,1017.20000,280.05000,37.00000,266.34000
2018-03-04-05:00:00,5.07000,163.00000,1016.50000,280.45000,34.00000,265.60000
2018-03-04-06:00:00,6.28000,162.00000,1016.00000,279.95000,34.00000,265.15000
2018-03-04-07:00:00,4.86000,170.00000,1015.90000,279.85000,33.00000,264.67000
2018-03-04-08:00:00,5.72000,156.00000,1016.10000,279.05000,34.00000,264.34000
2018-03-04-09:00:00,4.77000,140.00000,1016.40000,278.15000,35.00000,263.91000
2018-03-04-10:00:00,5.34000,141.00000,1017.30000,277.45000,37.00000,263.99000
2018-03-04-11:00:00,3.86000,142.00000,1018.80000,276.75000,38.00000,263.70000
2018-03-04-12:00:00,3.58000,160.00000,1019.90000,276.15000,39.00000,263.49000
2018-03-04-13:00:00,3.14000,180.00000,1020.90000,275.65000,39.00000,263.03000
2018-03-04-14:00:00,1.82000,101.00000,1021.40000,274.45000,43.00000,263.18000
2018-03-04-15:00:00,0.57000,105.00000,1021.40000,273.45000,45.00000,262.84000
2018-03-04-16:00:00,1.87000,10.00000,1021.90000,270.45000,53.00000,263.00000
2018-03-04-17:00:00,1.66000,34.00000,1022.10000,269.85000,57.00000,263.26000
2018-03-04-18:00:00,1.81000,12.00000,1022.60000,268.85000,60.00000,262.89000
2018-03-04-19:00:00,1.29000,344.00000,1022.80000,269.05000,59.00000,262.89000
2018-03-04-20:00:00,1.87000,21.00000,1023.20000,267.25000,67.00000,262.61000
2018-03-04-21:00:00,1.70000,358.00000,1023.90000,268.55000,63.00000,263.16000
2018-03-04-22:00:00,1.01000,309.00000,1024.70000,269.15000,64.00000,263.92000
2018-03-04-23:00:00,1.03000,20.00000,1025.50000,267.25000,72.00000,263.43000
2018-03-05-00:00:00,1.11000,16.00000,1026.50000,272.05000,57.00000,265.35000
2018-03-05-01:00:00,1.68000,78.00000,1027.10000,274.65000,47.00000,264.51000
2018-03-05-02:00:00,2.89000,132.00000,1027.40000,276.65000,37.00000,263.27000
2018-03-05-03:00:00,3.28000,164.00000,1027.10000,278.25000,34.00000,263.62000
2018-03-05-04:00:00,4.63000,158.00000,1026.50000,279.95000,29.00000,263.10000
2018-03-05-05:00:00,3.79000,182.00000,1025.30000,280.65000,27.00000,262.80000
2018-03-05-06:00:00,4.60000,191.00000,1024.10000,281.55000,21.00000,260.40000
2018-03-05-07:00:00,4.27000,191.00000,1023.40000,281.25000,20.00000,259.54000
2018-03-05-08:00:00,5.02000,187.00000,1023.00000,280.95000,22.00000,260.47000
2018-03-05-09:00:00,5.02000,183.00000,1022.70000,280.15000,25.00000,261.39000
2018-03-05-10:00:00,5.10000,183.00000,1022.80000,278.55000,27.00000,260.96000
2018-03-05-11:00:00,6.87000,170.00000,1024.00000,276.25000,33.00000,261.45000
2018-03-05-12:00:00,6.11000,167.00000,1025.40000,274.95000,37.00000,261.73000
2018-03-05-13:00:00,5.53000,171.00000,1026.20000,273.75000,43.00000,262.54000
2018-03-05-14:00:00,3.59000,170.00000,1027.00000,273.15000,48.00000,263.39000
