DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-01-00:00:00,3.04000,353.00000,1019.50000,273.55000,21.00000,253.55000
2018-03-01-01:00:00,3.53000,335.00000,1019.50000,275.55000,19.00000,254.06000
2018-03-01-02:00:00,3.08000,328.00000,1019.20000,276.55000,17.00000,253.58000
2018-03-01-03:00:00,4.40000,301.00000,1018.50000,277.85000,16.00000,253.95000
2018-03-01-04:00:00,4.25000,323.00000,1017.60000,279.65000,13.00000,252.98000
2018-03-01-05:00:00,3.56000,309.00000,1016.20000,279.75000,12.00000,252.11000
2018-03-01-06:00:00,3.81000,325.00000,1015.10000,281.65000,9.00000,250.28000
2018-03-01-07:00:00,4.72000,201.00000,1014.40000,281.25000,10.00000,251.19000
2018-03-01-08:00:00,3.98000,171.00000,1013.90000,281.35000,11.00000,252.38000
2018-03-01-09:00:00,5.80000,203.00000,1013.50000,280.95000,13.00000,254.04000
2018-03-01-10:00:00,6.63000,184.00000,1013.40000,279.95000,15.00000,254.93000
2018-03-01-11:00:00,5.58000,191.00000,1013.70000,279.05000,17.00000,255.68000
2018-03-01-12:00:00,5.63000,181.00000,1013.90000,276.85000,20.00000,255.79000
2018-03-01-13:00:00,3.40000,152.00000,1013.80000,276.45000,22.00000,256.60000
2018-03-01-14:00:00,3.37000,153.00000,1013.80000,275.95000,23.00000,256.71000
2018-03-01-15:00:00,2.56000,120.00000,1013.30000,274.45000,26.00000,256.90000
2018-03-01-16:00:00,3.74000,130.00000,1012.70000,273.35000,35.00000,259.58000
2018-03-01-17:00:00,2.72000,109.00000,1012.30000,272.35000,38.00000,261.00000
2018-03-01-18:00:00,2.28000,117.00000,1012.00000,272.55000,37.00000,260.88000
2018-03-01-19:00:00,2.51000,123.00000,1011.50000,272.55000,34.00000,259.94000
2018-03-01-20:00:00,2.48000,109.00000,1010.70000,272.05000,37.00000,260.43000
2018-03-01-21:00:00,2.10000,102.00000,1010.70000,272.05000,41.00000,261.58000
2018-03-01-22:00:00,2.00000,99.00000,1009.80000,271.95000,44.00000,262.29000
2018-03-01-23:00:00,1.37000,92.00000,1009.10000,271.55000,48.00000,262.90000
2018-03-02-00:00:00,1.68000,108.00000,1009.30000,272.85000,45.00000,263.38000
2018-03-02-01:00:00,1.94000,134.00000,1009.20000,274.75000,40.00000,262.54000
2018-03-02-02:00:00,1.11000,203.00000,1008.40000,275.55000,35.00000,261.57000
2018-03-02-03:00:00,1.07000,169.00000,1007.80000,277.65000,31.00000,261.91000
2018-03-02-04:00:00,1.73000,238.00000,1006.70000,278.35000,29.00000,261.69000
2018-03-02-05:00:00,2.43000,219.00000,1005.10000,279.95000,27.00000,262.19000
2018-03-02-06:00:00,3.32000,185.00000,1003.70000,281.35000,25.00000,262.43000
2018-03-02-07:00:00,2.95000,191.00000,1003.20000,280.85000,25.00000,262.00000
2018-03-02-08:00:00,3.07000,178.00000,1002.50000,281.55000,24.00000,262.09000
2018-03-02-09:00:00,1.62000,116.00000,1002.10000,281.55000,24.00000,262.09000
2018-03-02-10:00:00,0.65000,84.00000,1002.30000,280.25000,29.00000,263.36000
2018-03-02-11:00:00,0.89000,14.00000,1002.50000,277.75000,35.00000,263.55000
2018-03-02-12:00:00,1.00000,34.00000,1002.70000,276.15000,42.00000,264.44000
2018-03-02-13:00:00,1.89000,85.00000,1002.80000,277.15000,38.00000,264.06000
2018-03-02-14:00:00,1.11000,104.00000,1002.70000,277.65000,43.00000,266.12000
2018-03-02-15:00:00,1.05000,99.00000,1002.30000,275.75000,51.00000,266.60000
2018-03-02-16:00:00,0.86000,295.00000,1001.70000,275.75000,57.00000,268.07000
2018-03-02-17:00:00,1.40000,330.00000,1001.40000,274.95000,54.00000,266.60000
2018-03-02-18:00:00,0.83000,19.00000,1000.90000,272.75000,66.00000,267.74000
2018-03-02-19:00:00,0.88000,1.00000,1000.10000,272.35000,70.00000,268.05000
2018-03-02-20:00:00,0.87000,18.00000,999.80000,272.35000,67.00000,267.53000
2018-03-02-21:00:00,1.69000,333.00000,999.80000,272.05000,68.00000,267.42000
2018-03-02-22:00:00,1.13000,352.00000,999.70000,271.85000,67.00000,267.05000
2018-03-02-23:00:00,0.75000,341.00000,1000.30000,272.35000,63.00000,266.81000
