DateTime,V,VX,VY,DIR,TP,RH,SLP
2018-03-02-00:00:00,1.61935,-1.15868,-1.13127,45.68564,270.62567,42.1016,1012.33185
2018-03-02-01:00:00,1.39826,-1.08473,-0.69056,57.51852,272.54102,38.69065,1011.85376
2018-03-02-02:00:00,1.17718,-1.01079,-0.24984,76.11611,274.45636,35.27971,1011.37561
2018-03-02-03:00:00,0.95609,-0.93684,0.19087,101.51583,276.3717,31.86877,1010.89752
2018-03-02-04:00:00,1.29597,-0.62713,0.78582,141.40819,277.86093,31.35594,1009.474
2018-03-02-05:00:00,1.63584,-0.31741,1.38076,167.05374,279.35019,30.84311,1008.05042
2018-03-02-06:00:00,1.97572,-0.0077,1.97571,179.77684,280.83942,30.33028,1006.62689
2018-03-02-07:00:00,1.72919,0.04414,1.72622,181.46465,280.86868,34.39488,1006.12836
2018-03-02-08:00:00,1.48265,0.09597,1.47674,183.71825,280.89798,38.45948,1005.62976
2018-03-02-09:00:00,1.23612,0.1478,1.22725,186.86719,280.92725,42.52409,1005.13123
2018-03-02-10:00:00,1.38328,-0.1905,0.33945,150.69937,278.82776,47.01969,1005.14624
2018-03-02-11:00:00,1.53044,-0.52879,-0.54834,43.9601,276.72827,51.51529,1005.16125
2018-03-02-12:00:00,1.6776,-0.86709,-1.43614,31.12202,274.62878,56.01089,1005.17627
2018-03-02-13:00:00,1.77168,-0.92871,-1.50863,31.61641,273.54721,61.07413,1005.14209
2018-03-02-14:00:00,1.86576,-0.99033,-1.58111,32.06096,272.46567,66.13737,1005.10791
2018-03-02-15:00:00,1.95984,-1.05195,-1.65359,32.46281,271.38409,71.20061,1005.07373
2018-03-02-16:00:00,2.02067,-0.99338,-1.75404,29.52451,271.28067,73.3166,1004.45917
2018-03-02-17:00:00,2.08149,-0.93481,-1.85448,26.75177,271.17722,75.43259,1003.84454
2018-03-02-18:00:00,2.14232,-0.87624,-1.95493,24.1429,271.07379,77.54857,1003.22998
2018-03-02-19:00:00,2.21433,-1.16671,-1.83113,32.50343,271.00308,81.29253,1002.67377
2018-03-02-20:00:00,2.28635,-1.45718,-1.70733,40.48036,270.93234,85.03648,1002.11749
2018-03-02-21:00:00,2.35836,-1.74766,-1.58353,47.82069,270.86163,88.78043,1001.56128
2018-03-02-22:00:00,2.24731,-1.35989,-1.70204,38.62398,271.84155,87.43519,1002.125
2018-03-02-23:00:00,2.13626,-0.97212,-1.82056,28.10088,272.82144,86.08995,1002.68878
2018-03-03-00:00:00,2.05959,-0.46575,-2.00624,13.06978,274.06641,85.43514,1003.14874
2018-03-03-01:00:00,1.8408,-0.76159,-1.46119,27.5291,276.89517,77.01299,1003.26227
2018-03-03-02:00:00,1.62201,-1.05743,-0.91613,49.09499,279.72391,68.59083,1003.37585
2018-03-03-03:00:00,1.40322,-1.35326,-0.37108,74.66581,282.55267,60.16867,1003.48938
2018-03-03-04:00:00,1.49948,-0.88211,0.31626,109.7243,283.72485,56.77193,1003.19604
2018-03-03-05:00:00,1.59575,-0.41096,1.0036,157.73187,284.89703,53.37519,1002.90271
2018-03-03-06:00:00,1.69202,0.0602,1.69095,182.03885,286.06921,49.97844,1002.60938
2018-03-03-07:00:00,1.42614,-0.24271,1.22155,168.76213,286.0105,54.63671,1003.3681
2018-03-03-08:00:00,1.16027,-0.54562,0.75215,144.04218,285.95181,59.29498,1004.12689
2018-03-03-09:00:00,0.8944,-0.84853,0.28275,108.42901,285.8931,63.95324,1004.88562
