DateTime,V,DIR,SLP,TP,RH
2018-03-01-00:00:00,4.65,351,1019.5,273.55,21
2018-03-01-01:00:00,5.29,340,1019.5,275.55,19
2018-03-01-02:00:00,3.27,331,1019.2,276.55,17
2018-03-01-03:00:00,4.81,316,1018.5,277.85,16
2018-03-01-04:00:00,4.21,335,1017.6,279.65,13
2018-03-01-05:00:00,4.56,318,1016.2,279.75,12
2018-03-01-06:00:00,4.81,317,1015.1,281.65,9
2018-03-01-07:00:00,5.46,210,1014.4,281.25,10
2018-03-01-08:00:00,4.42,185,1013.9,281.35,11
2018-03-01-09:00:00,5.13,211,1013.5,280.95,13
2018-03-01-10:00:00,6.25,190,1013.4,279.95,15
2018-03-01-11:00:00,5.64,188,1013.7,279.05,17
2018-03-01-12:00:00,5.72,182,1013.9,276.85,20
2018-03-01-13:00:00,2.78,159,1013.8,276.45,22
2018-03-01-14:00:00,3.04,156,1013.8,275.95,23
2018-03-01-15:00:00,2.56,133,1013.3,274.45,26
2018-03-01-16:00:00,3.25,134,1012.7,273.35,35
2018-03-01-17:00:00,2.27,108,1012.3,272.35,38
2018-03-01-18:00:00,2.71,126,1012,272.55,37
2018-03-01-19:00:00,2.69,134,1011.5,272.55,34
2018-03-01-20:00:00,1.79,105,1010.7,272.05,37
2018-03-01-21:00:00,1.9,99,1010.7,272.05,41
2018-03-01-22:00:00,2.15,98,1009.8,271.95,44
2018-03-01-23:00:00,1.53,101,1009.1,271.55,48
2018-03-02-00:00:00,1.62,100,1009.3,272.85,45
2018-03-02-01:00:00,1.92,91,1009.2,274.75,40
2018-03-02-02:00:00,1.41,157,1008.4,275.55,35
2018-03-02-03:00:00,1.82,95,1007.8,277.65,31
2018-03-02-04:00:00,2.08,174,1006.7,278.35,29
2018-03-02-05:00:00,1.44,145,1005.1,279.95,27
2018-03-02-06:00:00,3.44,185,1003.7,281.35,25
2018-03-02-07:00:00,2.58,195,1003.2,280.85,25
2018-03-02-08:00:00,1.28,176,1002.5,281.55,24
2018-03-02-09:00:00,1.88,153,1002.1,281.55,24
2018-03-02-10:00:00,0.59,67,1002.3,280.25,29
2018-03-02-11:00:00,1.41,70,1002.5,277.75,35
2018-03-02-12:00:00,0.9,36,1002.7,276.15,42
2018-03-02-13:00:00,2.87,97,1002.8,277.15,38
2018-03-02-14:00:00,1.07,72,1002.7,277.65,43
2018-03-02-15:00:00,1.31,52,1002.3,275.75,51
2018-03-02-16:00:00,0.44,94,1001.7,275.75,57
2018-03-02-17:00:00,1.43,321,1001.4,274.95,54
2018-03-02-18:00:00,0.56,33,1000.9,272.75,66
2018-03-02-19:00:00,1.02,353,1000.1,272.35,70
2018-03-02-20:00:00,1.25,12,999.8,272.35,67
2018-03-02-21:00:00,1.93,334,999.8,272.05,68
2018-03-02-22:00:00,1.35,352,999.7,271.85,67
2018-03-02-23:00:00,2,342,1000.3,272.35,63
2018-03-03-00:00:00,3.09,317,1001.2,274.65,53
2018-03-03-01:00:00,1.95,350,1001.4,276.45,47
2018-03-03-02:00:00,1.47,68,1001.4,279.45,43
2018-03-03-03:00:00,1.37,43,1001.5,281.15,53
2018-03-03-04:00:00,1.52,180,1001.6,281.65,53
2018-03-03-05:00:00,1.19,171,1001.7,282.25,53
2018-03-03-06:00:00,2.99,92,1000.6,282.55,52
2018-03-03-07:00:00,2.37,98,1001.3,282.55,56
2018-03-03-08:00:00,0.92,104,1002.8,282.15,56
2018-03-03-09:00:00,0.78,147,1003.6,281.85,58
2018-03-03-10:00:00,1.53,12,1004.9,281.25,62
2018-03-03-11:00:00,1.17,31,1005.9,281.35,65
2018-03-03-12:00:00,0.59,156,1006.2,279.55,65
2018-03-03-13:00:00,0.79,244,1007,279.45,72
2018-03-03-14:00:00,0.42,263,1008.3,279.45,68
2018-03-03-15:00:00,1.31,312,1009.3,278.75,75
2018-03-03-16:00:00,1.43,3,1009.8,278.85,68
2018-03-03-17:00:00,1.97,59,1010.4,283.45,17
2018-03-03-18:00:00,3.53,46,1011.5,283.95,13
2018-03-03-19:00:00,3.08,34,1012.4,283.65,12
2018-03-03-20:00:00,3.66,36,1012.9,282.75,13
2018-03-03-21:00:00,4.72,22,1013.3,282.15,14
2018-03-03-22:00:00,3.04,61,1014.1,281.35,15
2018-03-03-23:00:00,2.56,144,1015.2,279.65,53
2018-03-04-00:00:00,2.86,168,1015.9,278.85,74
2018-03-04-01:00:00,3.64,164,1017,279.05,55
2018-03-04-02:00:00,3.69,158,1017.7,279.45,48
2018-03-04-03:00:00,5.57,161,1018.5,280.05,40
2018-03-04-04:00:00,4,146,1018.2,279.15,37
2018-03-04-05:00:00,4.23,158,1017.5,279.95,34
2018-03-04-06:00:00,4.65,171,1017,279.35,34
2018-03-04-07:00:00,3.92,153,1016.9,279.35,33
2018-03-04-08:00:00,3.88,151,1017.1,278.55,35
2018-03-04-09:00:00,2.9,138,1017.4,277.85,36
2018-03-04-10:00:00,3.61,137,1018.3,276.85,36
2018-03-04-11:00:00,2.56,144,1019.7,276.35,38
2018-03-04-12:00:00,1.61,136,1020.9,275.45,40
2018-03-04-13:00:00,1.54,96,1021.9,274.75,42
2018-03-04-14:00:00,1.44,93,1022.2,273.95,46
2018-03-04-15:00:00,0.92,123,1022.3,272.45,51
2018-03-04-16:00:00,1.49,86,1022.7,272.45,50
2018-03-04-17:00:00,1.34,62,1023,271.25,57
2018-03-04-18:00:00,0.96,77,1023.5,271.15,58
2018-03-04-19:00:00,1.51,357,1023.7,270.55,62
